country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,
Canada,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,,3,15,,,,27,38,78,62,90,89,113,117,141,141,97,102,148,132,149,186,172,264,218,183,176,215,169,193,208,223,210,204
Germany (FRG),7,2,12,12,12,12,12,12,12,12,12,12,12,16,12,12,18,8,8,14,8,8,6,8,20,12,12,10,3,3,3,3,3,11,7
Israel,,,,,,,,,,,28,28,28,28,28,28,28,28,38,38,28,28,,,,,,,,,,,,,
Italy,,,,,,,5,9,5,5,2,2,,,,,,,,,,,,,,,,,,,,,,,
Japan,,,,,,,,,,15,30,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,1023,1011,72,498,1241,732,175,1465,2233,2486,2528,2076,2888,3107,2472,1324,1529,1102,636,703,689,1133,909
Soviet Union,,,,,,,,,,,81,260,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,33,33,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Ukraine,,,,,,,,,,,,,18,18,11,,65,3,8,18,29,41,58,3,33,82,128,64,54,28,,,632,86,132
United Kingdom,,,,,,,,5,,,,,,,,,,,20,40,60,60,50,50,50,70,40,40,40,40,40,40,40,40,40
United States,,,,,59,98,,,14,,,,,0,35,2,2,,,,,,,,,,,,,,,,,,
Total,7,2,15,27,73,115,17,53,69,110,214,392,1169,1187,274,680,1494,900,383,1787,2555,2836,2893,2373,3320,3554,2900,1678,1906,1407,937,1020,1651,1715,1357
