country,year,value
Belarus,1980,
Belarus,1981,
Belarus,1982,
Belarus,1983,
Belarus,1984,
Belarus,1985,
Belarus,1986,
Belarus,1987,
Belarus,1988,
Belarus,1989,
Belarus,1990,
Belarus,1991,
Belarus,1992,
Belarus,1993,
Belarus,1994,
Belarus,1995,
Belarus,1996,
Belarus,1997,
Belarus,1998,
Belarus,1999,
Belarus,2000,
Belarus,2001,
Belarus,2002,
Belarus,2003,
Belarus,2004,
Belarus,2005,
Belarus,2006,
Belarus,2007,
Belarus,2008,
Belarus,2009,
Belarus,2010,
Belarus,2011,
Belarus,2012,
Belarus,2013,170
Belarus,2014,
Canada,1980,
Canada,1981,
Canada,1982,
Canada,1983,
Canada,1984,3
Canada,1985,5
Canada,1986,
Canada,1987,
Canada,1988,
Canada,1989,
Canada,1990,
Canada,1991,
Canada,1992,
Canada,1993,
Canada,1994,
Canada,1995,
Canada,1996,
Canada,1997,
Canada,1998,
Canada,1999,
Canada,2000,
Canada,2001,
Canada,2002,
Canada,2003,
Canada,2004,
Canada,2005,
Canada,2006,
Canada,2007,
Canada,2008,
Canada,2009,
Canada,2010,
Canada,2011,
Canada,2012,
Canada,2013,
Canada,2014,
France,1980,
France,1981,
France,1982,3
France,1983,15
France,1984,
France,1985,
France,1986,
France,1987,27
France,1988,38
France,1989,78
France,1990,62
France,1991,90
France,1992,89
France,1993,113
France,1994,117
France,1995,141
France,1996,141
France,1997,97
France,1998,102
France,1999,148
France,2000,132
France,2001,149
France,2002,186
France,2003,172
France,2004,264
France,2005,218
France,2006,183
France,2007,176
France,2008,215
France,2009,169
France,2010,193
France,2011,208
France,2012,223
France,2013,210
France,2014,204
Germany (FRG),1980,7
Germany (FRG),1981,2
Germany (FRG),1982,12
Germany (FRG),1983,12
Germany (FRG),1984,12
Germany (FRG),1985,12
Germany (FRG),1986,12
Germany (FRG),1987,12
Germany (FRG),1988,12
Germany (FRG),1989,12
Germany (FRG),1990,12
Germany (FRG),1991,12
Germany (FRG),1992,12
Germany (FRG),1993,16
Germany (FRG),1994,12
Germany (FRG),1995,12
Germany (FRG),1996,18
Germany (FRG),1997,8
Germany (FRG),1998,8
Germany (FRG),1999,14
Germany (FRG),2000,8
Germany (FRG),2001,8
Germany (FRG),2002,6
Germany (FRG),2003,8
Germany (FRG),2004,20
Germany (FRG),2005,12
Germany (FRG),2006,12
Germany (FRG),2007,10
Germany (FRG),2008,3
Germany (FRG),2009,3
Germany (FRG),2010,3
Germany (FRG),2011,3
Germany (FRG),2012,3
Germany (FRG),2013,11
Germany (FRG),2014,7
Israel,1980,
Israel,1981,
Israel,1982,
Israel,1983,
Israel,1984,
Israel,1985,
Israel,1986,
Israel,1987,
Israel,1988,
Israel,1989,
Israel,1990,28
Israel,1991,28
Israel,1992,28
Israel,1993,28
Israel,1994,28
Israel,1995,28
Israel,1996,28
