country,year,value
China,1980,243
China,1981,57
China,1982,317
China,1983,79
China,1984,77
China,1985,29
China,1986,224
China,1987,224
China,1988,273
China,1989,160
China,1990,103
China,1991,145
China,1992,11
China,1993,55
China,1994,5
China,1995,50
China,1996,
China,1997,
China,1998,
China,1999,
China,2000,
China,2001,
China,2002,
China,2003,
China,2004,
China,2005,
China,2006,
China,2007,
China,2008,
China,2009,
China,2010,
China,2011,
China,2012,
China,2013,
China,2014,
Kazakhstan,1980,
Kazakhstan,1981,
Kazakhstan,1982,
Kazakhstan,1983,
Kazakhstan,1984,
Kazakhstan,1985,
Kazakhstan,1986,
Kazakhstan,1987,
Kazakhstan,1988,
Kazakhstan,1989,
Kazakhstan,1990,
Kazakhstan,1991,
Kazakhstan,1992,
Kazakhstan,1993,
Kazakhstan,1994,
Kazakhstan,1995,7
Kazakhstan,1996,
Kazakhstan,1997,
Kazakhstan,1998,
Kazakhstan,1999,170
Kazakhstan,2000,
Kazakhstan,2001,
Kazakhstan,2002,
Kazakhstan,2003,
Kazakhstan,2004,
Kazakhstan,2005,
Kazakhstan,2006,
Kazakhstan,2007,
Kazakhstan,2008,
Kazakhstan,2009,
Kazakhstan,2010,
Kazakhstan,2011,
Kazakhstan,2012,
Kazakhstan,2013,
Kazakhstan,2014,
Russia,1980,
Russia,1981,
Russia,1982,
Russia,1983,
Russia,1984,
Russia,1985,
Russia,1986,
Russia,1987,
Russia,1988,
Russia,1989,
Russia,1990,
Russia,1991,
Russia,1992,126
Russia,1993,38
Russia,1994,30
Russia,1995,98
Russia,1996,90
Russia,1997,9
Russia,1998,9
Russia,1999,9
Russia,2000,18
Russia,2001,28
Russia,2002,9
Russia,2003,8
Russia,2004,8
Russia,2005,5
Russia,2006,15
Russia,2007,5
Russia,2008,5
Russia,2009,4
Russia,2010,1
Russia,2011,
Russia,2012,
Russia,2013,
Russia,2014,
Soviet Union,1980,173
Soviet Union,1981,206
Soviet Union,1982,242
Soviet Union,1983,401
Soviet Union,1984,175
Soviet Union,1985,1051
Soviet Union,1986,913
Soviet Union,1987,665
Soviet Union,1988,581
Soviet Union,1989,436
Soviet Union,1990,193
Soviet Union,1991,53
Soviet Union,1992,
Soviet Union,1993,
Soviet Union,1994,
Soviet Union,1995,
Soviet Union,1996,
Soviet Union,1997,
Soviet Union,1998,
Soviet Union,1999,
Soviet Union,2000,
Soviet Union,2001,
Soviet Union,2002,
Soviet Union,2003,
Soviet Union,2004,
Soviet Union,2005,
Soviet Union,2006,
Soviet Union,2007,
Soviet Union,2008,
Soviet Union,2009,
Soviet Union,2010,
Soviet Union,2011,
Soviet Union,2012,
Soviet Union,2013,
Soviet Union,2014,
United States,1980,
United States,1981,
United States,1982,
United States,1983,31
United States,1984,31
United States,1985,
United States,1986,
United States,1987,
United States,1988,
United States,1989,
United States,1990,
United States,1991,
United States,1992,
United States,1993,
United States,1994,
United States,1995,
United States,1996,
United States,1997,
United States,1998,
United States,1999,
United States,2000,
United States,2001,
United States,2002,
United States,2003,
United States,2004,
United States,2005,
United States,2006,
United States,2007,
United States,2008,
United States,2009,
United States,2010,
United States,2011,
United States,2012,
United States,2013,
United States,2014,
Total,1980,416
Total,1981,263
Total,1982,559
Total,1983,512
Total,1984,283
Total,1985,1080
Total,1986,1137
Total,1987,889
Total,1988,854
Total,1989,595
Total,1990,295
Total,1991,198
Total,1992,137
Total,1993,93
Total,1994,35
Total,1995,155
Total,1996,90
Total,1997,9
Total,1998,9
Total,1999,179
Total,2000,18
Total,2001,28
Total,2002,9
Total,2003,8
Total,2004,8
Total,2005,5
Total,2006,15
Total,2007,5
Total,2008,5
Total,2009,4
Total,2010,1
Total,2011,
Total,2012,
Total,2013,
Total,2014,
