country,year,value
Bulgaria,1980,
Bulgaria,1981,
Bulgaria,1982,
Bulgaria,1983,
Bulgaria,1984,
Bulgaria,1985,
Bulgaria,1986,
Bulgaria,1987,
Bulgaria,1988,
Bulgaria,1989,
Bulgaria,1990,
Bulgaria,1991,
Bulgaria,1992,
Bulgaria,1993,
Bulgaria,1994,
Bulgaria,1995,
Bulgaria,1996,
Bulgaria,1997,
Bulgaria,1998,
Bulgaria,1999,7
Bulgaria,2000,
Bulgaria,2001,
Bulgaria,2002,
Bulgaria,2003,
Bulgaria,2004,
Bulgaria,2005,
Bulgaria,2006,
Bulgaria,2007,
Bulgaria,2008,
Bulgaria,2009,
Bulgaria,2010,
Bulgaria,2011,
Bulgaria,2012,
Bulgaria,2013,
Bulgaria,2014,
Canada,1980,2
Canada,1981,
Canada,1982,
Canada,1983,
Canada,1984,
Canada,1985,
Canada,1986,2
Canada,1987,
Canada,1988,
Canada,1989,
Canada,1990,2
Canada,1991,
Canada,1992,
Canada,1993,
Canada,1994,
Canada,1995,
Canada,1996,
Canada,1997,
Canada,1998,
Canada,1999,
Canada,2000,
Canada,2001,
Canada,2002,
Canada,2003,
Canada,2004,
Canada,2005,
Canada,2006,
Canada,2007,
Canada,2008,
Canada,2009,
Canada,2010,
Canada,2011,
Canada,2012,
Canada,2013,
Canada,2014,
China,1980,
China,1981,
China,1982,
China,1983,
China,1984,
China,1985,
China,1986,
China,1987,
China,1988,
China,1989,34
China,1990,217
China,1991,182
China,1992,14
China,1993,323
China,1994,93
China,1995,176
China,1996,118
China,1997,197
China,1998,156
China,1999,116
China,2000,3
China,2001,50
China,2002,9
China,2003,57
China,2004,74
China,2005,23
China,2006,0
China,2007,2
China,2008,
China,2009,7
China,2010,5
China,2011,305
China,2012,370
China,2013,213
China,2014,33
Denmark,1980,18
Denmark,1981,
Denmark,1982,36
Denmark,1983,
Denmark,1984,
Denmark,1985,
Denmark,1986,
Denmark,1987,
Denmark,1988,
Denmark,1989,
Denmark,1990,
Denmark,1991,
Denmark,1992,
Denmark,1993,
Denmark,1994,3
Denmark,1995,
Denmark,1996,
Denmark,1997,
Denmark,1998,
Denmark,1999,
Denmark,2000,
Denmark,2001,
Denmark,2002,
Denmark,2003,
Denmark,2004,
Denmark,2005,
Denmark,2006,
Denmark,2007,
Denmark,2008,
Denmark,2009,
Denmark,2010,
Denmark,2011,
Denmark,2012,
Denmark,2013,
Denmark,2014,
Germany (FRG),1980,
Germany (FRG),1981,
Germany (FRG),1982,
Germany (FRG),1983,
Germany (FRG),1984,
Germany (FRG),1985,
Germany (FRG),1986,
Germany (FRG),1987,
Germany (FRG),1988,
Germany (FRG),1989,
Germany (FRG),1990,
Germany (FRG),1991,
Germany (FRG),1992,
Germany (FRG),1993,
Germany (FRG),1994,
Germany (FRG),1995,
Germany (FRG),1996,
Germany (FRG),1997,
Germany (FRG),1998,
Germany (FRG),1999,
Germany (FRG),2000,
Germany (FRG),2001,
Germany (FRG),2002,
Germany (FRG),2003,1
Germany (FRG),2004,
Germany (FRG),2005,
Germany (FRG),2006,
Germany (FRG),2007,
Germany (FRG),2008,
Germany (FRG),2009,
Germany (FRG),2010,
Germany (FRG),2011,
Germany (FRG),2012,
Germany (FRG),2013,
Germany (FRG),2014,
India,1980,
India,1981,
India,1982,
India,1983,
India,1984,
India,1985,
India,1986,
India,1987,
India,1988,
India,1989,
India,1990,
India,1991,
India,1992,
India,1993,
India,1994,
India,1995,
India,1996,
India,1997,
India,1998,
India,1999,
India,2000,5
India,2001,
India,2002,
India,2003,
India,2004,
India,2005,
India,2006,9
India,2007,
India,2008,
India,2009,
India,2010,
India,2011,
India,2012,
India,2013,
India,2014,
Israel,1980,
Israel,1981,
Israel,1982,
Israel,1983,
Israel,1984,
Israel,1985,
Israel,1986,
Israel,1987,
Israel,1988,
Israel,1989,
Israel,1990,
Israel,1991,
Israel,1992,
Israel,1993,
Israel,1994,
Israel,1995,
Israel,1996,
Israel,1997,
Israel,1998,
Israel,1999,
Israel,2000,9
Israel,2001,2
Israel,2002,
Israel,2003,2
Israel,2004,
Israel,2005,
Israel,2006,
Israel,2007,
Israel,2008,20
Israel,2009,20
Israel,2010,20
Israel,2011,1
Israel,2012,
Israel,2013,
Israel,2014,
North Korea,1980,
North Korea,1981,
North Korea,1982,
North Korea,1983,
North Korea,1984,
North Korea,1985,
North Korea,1986,
North Korea,1987,
North Korea,1988,
North Korea,1989,
North Korea,1990,
North Korea,1991,
North Korea,1992,
North Korea,1993,
North Korea,1994,
North Korea,1995,
North Korea,1996,
North Korea,1997,
North Korea,1998,
North Korea,1999,11
North Korea,2000,
North Korea,2001,
North Korea,2002,
North Korea,2003,
North Korea,2004,
North Korea,2005,
North Korea,2006,
North Korea,2007,
North Korea,2008,
North Korea,2009,
North Korea,2010,
North Korea,2011,
North Korea,2012,
North Korea,2013,
North Korea,2014,
Poland,1980,
Poland,1981,
Poland,1982,
Poland,1983,
Poland,1984,
Poland,1985,
Poland,1986,
Poland,1987,
Poland,1988,
Poland,1989,
Poland,1990,26
Poland,1991,15
