recipient,country,year,value
China,Belarus,1980,0
China,Belarus,1981,0
China,Belarus,1982,0
China,Belarus,1983,0
China,Belarus,1984,0
China,Belarus,1985,0
China,Belarus,1986,0
China,Belarus,1987,0
China,Belarus,1988,0
China,Belarus,1989,0
China,Belarus,1990,0
China,Belarus,1991,0
China,Belarus,1992,0
China,Belarus,1993,0
China,Belarus,1994,0
China,Belarus,1995,0
China,Belarus,1996,0
China,Belarus,1997,0
China,Belarus,1998,0
China,Belarus,1999,0
China,Belarus,2000,0
China,Belarus,2001,0
China,Belarus,2002,0
China,Belarus,2003,0
China,Belarus,2004,0
China,Belarus,2005,0
China,Belarus,2006,0
China,Belarus,2007,0
China,Belarus,2008,0
China,Belarus,2009,0
China,Belarus,2010,0
China,Belarus,2011,0
China,Belarus,2012,0
China,Belarus,2013,170
China,Belarus,2014,0
China,Canada,1980,0
China,Canada,1981,0
China,Canada,1982,0
China,Canada,1983,0
China,Canada,1984,3
China,Canada,1985,5
China,Canada,1986,0
China,Canada,1987,0
China,Canada,1988,0
China,Canada,1989,0
China,Canada,1990,0
China,Canada,1991,0
China,Canada,1992,0
China,Canada,1993,0
China,Canada,1994,0
China,Canada,1995,0
China,Canada,1996,0
China,Canada,1997,0
China,Canada,1998,0
China,Canada,1999,0
China,Canada,2000,0
China,Canada,2001,0
China,Canada,2002,0
China,Canada,2003,0
China,Canada,2004,0
China,Canada,2005,0
China,Canada,2006,0
China,Canada,2007,0
China,Canada,2008,0
China,Canada,2009,0
China,Canada,2010,0
China,Canada,2011,0
China,Canada,2012,0
China,Canada,2013,0
China,Canada,2014,0
China,France,1980,0
China,France,1981,0
China,France,1982,3
China,France,1983,15
China,France,1984,0
China,France,1985,0
China,France,1986,0
China,France,1987,27
China,France,1988,38
China,France,1989,78
China,France,1990,62
China,France,1991,90
China,France,1992,89
China,France,1993,113
China,France,1994,117
China,France,1995,141
China,France,1996,141
China,France,1997,97
China,France,1998,102
China,France,1999,148
China,France,2000,132
China,France,2001,149
China,France,2002,186
China,France,2003,172
China,France,2004,264
China,France,2005,218
China,France,2006,183
China,France,2007,176
China,France,2008,215
China,France,2009,169
China,France,2010,193
China,France,2011,208
China,France,2012,223
China,France,2013,210
China,France,2014,204
China,Germany (FRG),1980,7
China,Germany (FRG),1981,2
China,Germany (FRG),1982,12
China,Germany (FRG),1983,12
China,Germany (FRG),1984,12
China,Germany (FRG),1985,12
China,Germany (FRG),1986,12
China,Germany (FRG),1987,12
China,Germany (FRG),1988,12
China,Germany (FRG),1989,12
China,Germany (FRG),1990,12
China,Germany (FRG),1991,12
China,Germany (FRG),1992,12
China,Germany (FRG),1993,16
China,Germany (FRG),1994,12
China,Germany (FRG),1995,12
China,Germany (FRG),1996,18
China,Germany (FRG),1997,8
China,Germany (FRG),1998,8
China,Germany (FRG),1999,14
China,Germany (FRG),2000,8
China,Germany (FRG),2001,8
China,Germany (FRG),2002,6
China,Germany (FRG),2003,8
