country,year,value
China,1980,7
China,1981,2
China,1982,15
China,1983,27
China,1984,73
China,1985,115
China,1986,17
China,1987,53
China,1988,69
China,1989,110
China,1990,214
China,1991,392
China,1992,1169
China,1993,1187
China,1994,274
China,1995,680
China,1996,1494
China,1997,900
China,1998,383
China,1999,1787
China,2000,2555
China,2001,2836
China,2002,2893
China,2003,2373
China,2004,3320
China,2005,3554
China,2006,2900
China,2007,1678
China,2008,1906
China,2009,1407
China,2010,937
China,2011,1020
China,2012,1651
China,2013,1715
China,2014,1357
Iran,1980,278
Iran,1981,487
Iran,1982,541
Iran,1983,509
Iran,1984,478
Iran,1985,638
Iran,1986,803
Iran,1987,833
Iran,1988,478
Iran,1989,192
Iran,1990,454
Iran,1991,1022
Iran,1992,432
Iran,1993,987
Iran,1994,452
Iran,1995,296
Iran,1996,615
Iran,1997,178
Iran,1998,381
Iran,1999,323
Iran,2000,418
Iran,2001,528
Iran,2002,435
Iran,2003,282
Iran,2004,121
Iran,2005,57
Iran,2006,423
Iran,2007,331
Iran,2008,62
Iran,2009,62
Iran,2010,103
Iran,2011,103
Iran,2012,47
Iran,2013,31
Iran,2014,13
North Korea,1980,416
North Korea,1981,263
North Korea,1982,559
North Korea,1983,512
North Korea,1984,283
North Korea,1985,1080
North Korea,1986,1137
North Korea,1987,889
North Korea,1988,854
North Korea,1989,595
North Korea,1990,295
North Korea,1991,198
North Korea,1992,137
North Korea,1993,93
North Korea,1994,35
North Korea,1995,155
North Korea,1996,90
North Korea,1997,9
North Korea,1998,9
North Korea,1999,179
North Korea,2000,18
North Korea,2001,28
North Korea,2002,9
North Korea,2003,8
North Korea,2004,8
North Korea,2005,5
North Korea,2006,15
North Korea,2007,5
North Korea,2008,5
North Korea,2009,4
North Korea,2010,1
North Korea,2011,
North Korea,2012,
North Korea,2013,
North Korea,2014,
Myanmar,1980,41
Myanmar,1981,
Myanmar,1982,39
Myanmar,1983,
Myanmar,1984,
Myanmar,1985,
Myanmar,1986,8
Myanmar,1987,
Myanmar,1988,
Myanmar,1989,34
Myanmar,1990,266
Myanmar,1991,232
Myanmar,1992,65
Myanmar,1993,323
Myanmar,1994,97
Myanmar,1995,223
Myanmar,1996,118
Myanmar,1997,231
Myanmar,1998,156
Myanmar,1999,141
Myanmar,2000,16
Myanmar,2001,149
Myanmar,2002,157
Myanmar,2003,83
Myanmar,2004,194
Myanmar,2005,160
Myanmar,2006,166
Myanmar,2007,135
Myanmar,2008,79
Myanmar,2009,42
Myanmar,2010,63
Myanmar,2011,697
Myanmar,2012,531
Myanmar,2013,278
Myanmar,2014,72
Syria,1980,1956
Syria,1981,1348
Syria,1982,1992
Syria,1983,2368
Syria,1984,1879
Syria,1985,1622
Syria,1986,1023
Syria,1987,1357
Syria,1988,1255
Syria,1989,623
Syria,1990,734
Syria,1991,316
Syria,1992,243
Syria,1993,173
Syria,1994,19
Syria,1995,35
Syria,1996,35
Syria,1997,35
Syria,1998,55
Syria,1999,58
Syria,2000,64
Syria,2001,28
Syria,2002,45
Syria,2003,69
Syria,2004,25
Syria,2005,35
Syria,2006,100
Syria,2007,20
Syria,2008,276
Syria,2009,193
Syria,2010,298
Syria,2011,368
Syria,2012,371
Syria,2013,361
Syria,2014,10
