country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Bulgaria,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
Canada,2,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
China,,,,,,,,,,34,217,182,14,323,93,176,118,197,156,116,3,50,9,57,74,23,0,2,,7,5,305,370,213,33
Denmark,18,,36,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
Germany (FRG),,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,5,,,,,,9,,,,,,,,
Israel,,,,,,,,,,,,,,,,,,,,,9,2,,2,,,,,20,20,20,1,,,
North Korea,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,26,15,16,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,47,,34,,,,87,134,,120,137,151,127,14,14,38,377,149,60,40
Serbia,,,,,,,,,,,,,,,,,,,,,,10,,,,,5,5,45,,,,,,
Switzerland,4,,,,,,6,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,,,,,,,,,,,,,,,,,,,,7,,,15,23,,,,1,,1,,12,12,6,
United Kingdom,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
United States,17,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Yugoslavia,,,,,,,,,,,17,32,32,,,,,,,,,,,,,,,,,,,,,,
Total,41,,39,,,,8,,,34,266,232,65,323,97,223,118,231,156,141,16,149,157,83,194,160,166,135,79,42,63,697,531,278,72
