country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Belarus,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,172,,,,,,
Bulgaria,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
China,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,56,15,,,,
Czechoslovakia,164,30,32,76,86,28,4,,,,,276,198,,,,,,,,,,,,,,,,,,,,,,
France,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,40,45,45,86,20,10,10
Libya,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Korea,,5,7,7,5,,,,,,,22,22,22,18,35,35,35,35,35,55,20,20,20,20,20,20,20,20,20,,,,,
Pakistan,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Poland,,,,,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,14,10,,,,,20,23,9,8,25,25,5,15,26,,44,72,238,282,351,351,
Slovakia,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,,,,,,
Soviet Union,1782,1303,1815,2284,1779,1576,1019,1357,1255,623,734,19,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,1956,1348,1992,2368,1879,1622,1023,1357,1255,623,734,316,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,276,193,298,368,371,361,10
