Column,year,value
Aircraft,1980,
Aircraft,1981,
Aircraft,1982,3
Aircraft,1983,
Aircraft,1984,59
Aircraft,1985,98
Aircraft,1986,
Aircraft,1987,16
Aircraft,1988,36
Aircraft,1989,65
Aircraft,1990,135
Aircraft,1991,298
Aircraft,1992,1004
Aircraft,1993,891
Aircraft,1994,44
Aircraft,1995,49
Aircraft,1996,1194
Aircraft,1997,367
Aircraft,1998,134
Aircraft,1999,360
Aircraft,2000,1287
Aircraft,2001,2440
Aircraft,2002,2306
Aircraft,2003,1884
Aircraft,2004,2183
Aircraft,2005,860
Aircraft,2006,941
Aircraft,2007,683
Aircraft,2008,189
Aircraft,2009,297
Aircraft,2010,365
Aircraft,2011,428
Aircraft,2012,203
Aircraft,2013,891
Aircraft,2014,462
Air defence systems,1980,
Air defence systems,1981,
Air defence systems,1982,
Air defence systems,1983,
Air defence systems,1984,
Air defence systems,1985,
Air defence systems,1986,
Air defence systems,1987,
Air defence systems,1988,
Air defence systems,1989,
Air defence systems,1990,
Air defence systems,1991,
Air defence systems,1992,30
Air defence systems,1993,124
Air defence systems,1994,77
Air defence systems,1995,30
Air defence systems,1996,30
Air defence systems,1997,85
Air defence systems,1998,38
Air defence systems,1999,233
Air defence systems,2000,295
Air defence systems,2001,45
Air defence systems,2002,45
Air defence systems,2003,139
Air defence systems,2004,140
Air defence systems,2005,60
Air defence systems,2006,60
Air defence systems,2007,280
Air defence systems,2008,500
Air defence systems,2009,280
Air defence systems,2010,45
Air defence systems,2011,60
Air defence systems,2012,55
Air defence systems,2013,47
Air defence systems,2014,46
Artillery,1980,
Artillery,1981,
Artillery,1982,
Artillery,1983,
Artillery,1984,
Artillery,1985,
Artillery,1986,
Artillery,1987,
Artillery,1988,
Artillery,1989,
Artillery,1990,
Artillery,1991,
Artillery,1992,
Artillery,1993,
Artillery,1994,
Artillery,1995,
Artillery,1996,
Artillery,1997,
Artillery,1998,
Artillery,1999,
Artillery,2000,1
Artillery,2001,
Artillery,2002,
Artillery,2003,
Artillery,2004,
Artillery,2005,
Artillery,2006,
Artillery,2007,
Artillery,2008,
Artillery,2009,
Artillery,2010,
Artillery,2011,
Artillery,2012,
Artillery,2013,
Artillery,2014,
Engines,1980,7
Engines,1981,2
Engines,1982,12
Engines,1983,12
Engines,1984,12
Engines,1985,12
Engines,1986,12
Engines,1987,12
Engines,1988,12
Engines,1989,12
Engines,1990,12
Engines,1991,18
Engines,1992,24
Engines,1993,24
Engines,1994,55
Engines,1995,48
Engines,1996,42
Engines,1997,15
Engines,1998,37
Engines,1999,64
Engines,2000,55
Engines,2001,72
Engines,2002,79
Engines,2003,97
Engines,2004,238
Engines,2005,180
Engines,2006,133
Engines,2007,138
Engines,2008,193
Engines,2009,151
Engines,2010,243
Engines,2011,279
Engines,2012,432
Engines,2013,441
Engines,2014,481
Missiles,1980,
Missiles,1981,
Missiles,1982,
Missiles,1983,
Missiles,1984,
Missiles,1985,
Missiles,1986,5
Missiles,1987,9
Missiles,1988,7
Missiles,1989,7
Missiles,1990,32
Missiles,1991,56
Missiles,1992,96
Missiles,1993,107
Missiles,1994,74
Missiles,1995,97
Missiles,1996,142
Missiles,1997,142
Missiles,1998,138
Missiles,1999,255
Missiles,2000,334
Missiles,2001,162
Missiles,2002,322
Missiles,2003,161
Missiles,2004,301
Missiles,2005,540
Missiles,2006,658
Missiles,2007,490
Missiles,2008,836
Missiles,2009,628
Missiles,2010,131
Missiles,2011,131
Missiles,2012,131
Missiles,2013,125
Missiles,2014,123
Naval weapons,1980,
Naval weapons,1981,
Naval weapons,1982,
Naval weapons,1983,
Naval weapons,1984,
Naval weapons,1985,
Naval weapons,1986,
Naval weapons,1987,
Naval weapons,1988,
Naval weapons,1989,11
Naval weapons,1990,5
Naval weapons,1991,5
Naval weapons,1992,5
Naval weapons,1993,5
Naval weapons,1994,
Naval weapons,1995,
Naval weapons,1996,5
Naval weapons,1997,
Naval weapons,1998,
Naval weapons,1999,
Naval weapons,2000,
Naval weapons,2001,
Naval weapons,2002,
Naval weapons,2003,
Naval weapons,2004,30
Naval weapons,2005,
Naval weapons,2006,20
Naval weapons,2007,23
Naval weapons,2008,10
Naval weapons,2009,
Naval weapons,2010,8
Naval weapons,2011,8
Naval weapons,2012,13
Naval weapons,2013,25
Naval weapons,2014,33
Sensors,1980,
Sensors,1981,
Sensors,1982,
Sensors,1983,15
Sensors,1984,3
Sensors,1985,5
Sensors,1986,
Sensors,1987,16
Sensors,1988,14
Sensors,1989,
Sensors,1990,
Sensors,1991,15
Sensors,1992,10
Sensors,1993,36
Sensors,1994,24
Sensors,1995,17
Sensors,1996,27
Sensors,1997,32
Sensors,1998,37
Sensors,1999,116
Sensors,2000,82
Sensors,2001,117
Sensors,2002,141
Sensors,2003,93
Sensors,2004,169
Sensors,2005,114
Sensors,2006,69
Sensors,2007,64
Sensors,2008,178
Sensors,2009,50
Sensors,2010,146
Sensors,2011,114
Sensors,2012,187
Sensors,2013,127
Sensors,2014,154
Ships,1980,
Ships,1981,
Ships,1982,
Ships,1983,
Ships,1984,
Ships,1985,
Ships,1986,
Ships,1987,
Ships,1988,
Ships,1989,15
Ships,1990,30
Ships,1991,
Ships,1992,
Ships,1993,
Ships,1994,
Ships,1995,440
Ships,1996,55
Ships,1997,260
Ships,1998,
Ships,1999,760
Ships,2000,500
Ships,2001,
Ships,2002,
Ships,2003,
Ships,2004,260
Ships,2005,1800
Ships,2006,1020
Ships,2007,
Ships,2008,
Ships,2009,
Ships,2010,
Ships,2011,
Ships,2012,632
Ships,2013,59
Ships,2014,59
Total,1980,7
Total,1981,2
Total,1982,15
Total,1983,27
Total,1984,73
Total,1985,115
Total,1986,17
Total,1987,53
Total,1988,69
Total,1989,110
Total,1990,214
Total,1991,392
Total,1992,1169
Total,1993,1187
Total,1994,274
Total,1995,680
Total,1996,1494
Total,1997,900
Total,1998,383
Total,1999,1787
Total,2000,2555
Total,2001,2836
Total,2002,2893
Total,2003,2373
Total,2004,3320
Total,2005,3554
Total,2006,2900
Total,2007,1678
Total,2008,1906
Total,2009,1407
Total,2010,937
Total,2011,1020
Total,2012,1651
Total,2013,1715
Total,2014,1357
