weapon,year,value
Aircraft,1980,44
Aircraft,1981,177
Aircraft,1982,15
Aircraft,1983,64
Aircraft,1984,60
Aircraft,1985,22
Aircraft,1986,45
Aircraft,1987,
Aircraft,1988,
Aircraft,1989,12
Aircraft,1990,296
Aircraft,1991,683
Aircraft,1992,
Aircraft,1993,275
Aircraft,1994,13
Aircraft,1995,10
Aircraft,1996,57
Aircraft,1997,
Aircraft,1998,68
Aircraft,1999,
Aircraft,2000,74
Aircraft,2001,238
Aircraft,2002,198
Aircraft,2003,68
Aircraft,2004,
Aircraft,2005,
Aircraft,2006,69
Aircraft,2007,
Aircraft,2008,
Aircraft,2009,
Aircraft,2010,
Aircraft,2011,
Aircraft,2012,
Aircraft,2013,
Aircraft,2014,
Air defence systems,1980,
Air defence systems,1981,
Air defence systems,1982,
Air defence systems,1983,
Air defence systems,1984,
Air defence systems,1985,54
Air defence systems,1986,54
Air defence systems,1987,
Air defence systems,1988,
Air defence systems,1989,36
Air defence systems,1990,54
Air defence systems,1991,82
Air defence systems,1992,
Air defence systems,1993,
Air defence systems,1994,
Air defence systems,1995,7
Air defence systems,1996,7
Air defence systems,1997,
Air defence systems,1998,
Air defence systems,1999,15
Air defence systems,2000,15
Air defence systems,2001,15
Air defence systems,2002,15
Air defence systems,2003,15
Air defence systems,2004,15
Air defence systems,2005,
Air defence systems,2006,188
Air defence systems,2007,175
Air defence systems,2008,
Air defence systems,2009,
Air defence systems,2010,
Air defence systems,2011,
Air defence systems,2012,
Air defence systems,2013,
Air defence systems,2014,
Armoured vehicles,1980,94
Armoured vehicles,1981,106
Armoured vehicles,1982,393
Armoured vehicles,1983,261
Armoured vehicles,1984,90
Armoured vehicles,1985,
Armoured vehicles,1986,340
Armoured vehicles,1987,340
Armoured vehicles,1988,210
Armoured vehicles,1989,90
Armoured vehicles,1990,
Armoured vehicles,1991,
Armoured vehicles,1992,
Armoured vehicles,1993,332
Armoured vehicles,1994,153
Armoured vehicles,1995,189
Armoured vehicles,1996,50
Armoured vehicles,1997,113
Armoured vehicles,1998,243
Armoured vehicles,1999,243
Armoured vehicles,2000,251
Armoured vehicles,2001,186
Armoured vehicles,2002,19
Armoured vehicles,2003,3
Armoured vehicles,2004,3
Armoured vehicles,2005,3
Armoured vehicles,2006,3
Armoured vehicles,2007,3
Armoured vehicles,2008,3
Armoured vehicles,2009,3
Armoured vehicles,2010,3
Armoured vehicles,2011,3
Armoured vehicles,2012,
Armoured vehicles,2013,
Armoured vehicles,2014,
Artillery,1980,
Artillery,1981,1
Artillery,1982,78
Artillery,1983,169
Artillery,1984,147
Artillery,1985,399
Artillery,1986,98
Artillery,1987,159
Artillery,1988,100
Artillery,1989,7
Artillery,1990,8
Artillery,1991,21
Artillery,1992,82
Artillery,1993,14
Artillery,1994,10
Artillery,1995,6
