weapon,year,value
Aircraft,1980,18
Aircraft,1981,17
Aircraft,1982,250
Aircraft,1983,222
Aircraft,1984,31
Aircraft,1985,776
Aircraft,1986,879
Aircraft,1987,510
Aircraft,1988,483
Aircraft,1989,373
Aircraft,1990,228
Aircraft,1991,90
Aircraft,1992,86
Aircraft,1993,
Aircraft,1994,
Aircraft,1995,71
Aircraft,1996,71
Aircraft,1997,
Aircraft,1998,
Aircraft,1999,170
Aircraft,2000,
Aircraft,2001,
Aircraft,2002,
Aircraft,2003,
Aircraft,2004,
Aircraft,2005,
Aircraft,2006,
Aircraft,2007,
Aircraft,2008,
Aircraft,2009,
Aircraft,2010,
Aircraft,2011,
Aircraft,2012,
Aircraft,2013,
Aircraft,2014,
Air defence systems,1980,
Air defence systems,1981,
Air defence systems,1982,
Air defence systems,1983,
Air defence systems,1984,
Air defence systems,1985,126
Air defence systems,1986,34
Air defence systems,1987,104
Air defence systems,1988,104
Air defence systems,1989,
Air defence systems,1990,
Air defence systems,1991,
Air defence systems,1992,
Air defence systems,1993,
Air defence systems,1994,
Air defence systems,1995,6
Air defence systems,1996,
Air defence systems,1997,
Air defence systems,1998,
Air defence systems,1999,
Air defence systems,2000,
Air defence systems,2001,
Air defence systems,2002,
Air defence systems,2003,
Air defence systems,2004,
Air defence systems,2005,
Air defence systems,2006,
Air defence systems,2007,
Air defence systems,2008,
Air defence systems,2009,
Air defence systems,2010,
Air defence systems,2011,
Air defence systems,2012,
Air defence systems,2013,
Air defence systems,2014,
Armoured vehicles,1980,135
Armoured vehicles,1981,164
Armoured vehicles,1982,203
Armoured vehicles,1983,150
Armoured vehicles,1984,150
Armoured vehicles,1985,98
Armoured vehicles,1986,114
Armoured vehicles,1987,114
Armoured vehicles,1988,114
Armoured vehicles,1989,114
Armoured vehicles,1990,24
Armoured vehicles,1991,18
Armoured vehicles,1992,6
Armoured vehicles,1993,
Armoured vehicles,1994,
Armoured vehicles,1995,
Armoured vehicles,1996,
Armoured vehicles,1997,
Armoured vehicles,1998,
Armoured vehicles,1999,
Armoured vehicles,2000,9
Armoured vehicles,2001,20
Armoured vehicles,2002,
Armoured vehicles,2003,
Armoured vehicles,2004,
Armoured vehicles,2005,
Armoured vehicles,2006,
Armoured vehicles,2007,
Armoured vehicles,2008,
Armoured vehicles,2009,
Armoured vehicles,2010,
Armoured vehicles,2011,
Armoured vehicles,2012,
Armoured vehicles,2013,
Armoured vehicles,2014,
Artillery,1980,5
Artillery,1981,40
Artillery,1982,10
Artillery,1983,13
Artillery,1984,10
Artillery,1985,8
Artillery,1986,3
Artillery,1987,3
Artillery,1988,1
Artillery,1989,1
Artillery,1990,1
Artillery,1991,
Artillery,1992,
Artillery,1993,
Artillery,1994,
Artillery,1995,
Artillery,1996,
Artillery,1997,
Artillery,1998,
Artillery,1999,
Artillery,2000,
Artillery,2001,
Artillery,2002,
Artillery,2003,
Artillery,2004,
Artillery,2005,
Artillery,2006,
Artillery,2007,
Artillery,2008,
Artillery,2009,
Artillery,2010,
Artillery,2011,
Artillery,2012,
Artillery,2013,
Artillery,2014,
Missiles,1980,39
Missiles,1981,37
Missiles,1982,38
Missiles,1983,38
Missiles,1984,38
Missiles,1985,67
Missiles,1986,54
Missiles,1987,72
Missiles,1988,76
Missiles,1989,54
Missiles,1990,34
Missiles,1991,34
Missiles,1992,41
Missiles,1993,39
Missiles,1994,29
Missiles,1995,24
Missiles,1996,14
Missiles,1997,9
Missiles,1998,9
Missiles,1999,9
Missiles,2000,9
Missiles,2001,9
Missiles,2002,9
Missiles,2003,8
Missiles,2004,8
Missiles,2005,5
Missiles,2006,15
Missiles,2007,5
Missiles,2008,5
Missiles,2009,4
Missiles,2010,1
Missiles,2011,
Missiles,2012,
Missiles,2013,
Missiles,2014,
Sensors,1980,
Sensors,1981,5
Sensors,1982,8
Sensors,1983,5
Sensors,1984,4
Sensors,1985,5
Sensors,1986,4
Sensors,1987,37
Sensors,1988,27
Sensors,1989,4
Sensors,1990,8
Sensors,1991,6
Sensors,1992,4
Sensors,1993,4
Sensors,1994,6
Sensors,1995,3
Sensors,1996,4
Sensors,1997,
Sensors,1998,
Sensors,1999,
Sensors,2000,
Sensors,2001,
Sensors,2002,
Sensors,2003,
Sensors,2004,
Sensors,2005,
Sensors,2006,
Sensors,2007,
Sensors,2008,
Sensors,2009,
Sensors,2010,
Sensors,2011,
Sensors,2012,
Sensors,2013,
Sensors,2014,
Ships,1980,220
Ships,1981,
Ships,1982,50
Ships,1983,84
Ships,1984,50
Ships,1985,
Ships,1986,50
Ships,1987,50
Ships,1988,50
Ships,1989,50
Ships,1990,
Ships,1991,50
Ships,1992,
Ships,1993,50
Ships,1994,
Ships,1995,50
Ships,1996,
Ships,1997,
Ships,1998,
Ships,1999,
Ships,2000,
Ships,2001,
Ships,2002,
Ships,2003,
Ships,2004,
Ships,2005,
Ships,2006,
Ships,2007,
Ships,2008,
Ships,2009,
Ships,2010,
Ships,2011,
Ships,2012,
Ships,2013,
Ships,2014,
Total,1980,416
Total,1981,263
Total,1982,559
Total,1983,512
Total,1984,283
Total,1985,1080
Total,1986,1137
Total,1987,889
Total,1988,854
Total,1989,595
Total,1990,295
Total,1991,198
Total,1992,137
Total,1993,93
Total,1994,35
Total,1995,155
Total,1996,90
Total,1997,9
Total,1998,9
Total,1999,179
Total,2000,18
Total,2001,28
Total,2002,9
Total,2003,8
Total,2004,8
Total,2005,5
Total,2006,15
Total,2007,5
Total,2008,5
Total,2009,4
Total,2010,1
Total,2011,
Total,2012,
Total,2013,
Total,2014,
