weapon,year,value
Aircraft,1980,4
Aircraft,1981,
Aircraft,1982,3
Aircraft,1983,
Aircraft,1984,
Aircraft,1985,
Aircraft,1986,6
Aircraft,1987,
Aircraft,1988,
Aircraft,1989,
Aircraft,1990,141
Aircraft,1991,79
Aircraft,1992,53
Aircraft,1993,132
Aircraft,1994,95
Aircraft,1995,47
Aircraft,1996,
Aircraft,1997,115
Aircraft,1998,147
Aircraft,1999,108
Aircraft,2000,5
Aircraft,2001,83
Aircraft,2002,124
Aircraft,2003,
Aircraft,2004,
Aircraft,2005,
Aircraft,2006,1
Aircraft,2007,
Aircraft,2008,
Aircraft,2009,
Aircraft,2010,24
Aircraft,2011,414
Aircraft,2012,152
Aircraft,2013,81
Aircraft,2014,33
Air defence systems,1980,
Air defence systems,1981,
Air defence systems,1982,
Air defence systems,1983,
Air defence systems,1984,
Air defence systems,1985,
Air defence systems,1986,
Air defence systems,1987,
Air defence systems,1988,
Air defence systems,1989,
Air defence systems,1990,5
Air defence systems,1991,5
Air defence systems,1992,5
Air defence systems,1993,5
Air defence systems,1994,
Air defence systems,1995,
Air defence systems,1996,
Air defence systems,1997,
Air defence systems,1998,
Air defence systems,1999,
Air defence systems,2000,
Air defence systems,2001,
Air defence systems,2002,
Air defence systems,2003,
Air defence systems,2004,95
Air defence systems,2005,105
Air defence systems,2006,105
Air defence systems,2007,95
Air defence systems,2008,
Air defence systems,2009,
Air defence systems,2010,
Air defence systems,2011,
Air defence systems,2012,30
Air defence systems,2013,
Air defence systems,2014,
Armoured vehicles,1980,
Armoured vehicles,1981,
Armoured vehicles,1982,
Armoured vehicles,1983,
Armoured vehicles,1984,
Armoured vehicles,1985,
Armoured vehicles,1986,
Armoured vehicles,1987,
Armoured vehicles,1988,
Armoured vehicles,1989,27
Armoured vehicles,1990,89
Armoured vehicles,1991,
Armoured vehicles,1992,
Armoured vehicles,1993,88
Armoured vehicles,1994,
Armoured vehicles,1995,60
Armoured vehicles,1996,
Armoured vehicles,1997,
Armoured vehicles,1998,
Armoured vehicles,1999,
Armoured vehicles,2000,
Armoured vehicles,2001,
Armoured vehicles,2002,15
Armoured vehicles,2003,9
Armoured vehicles,2004,56
Armoured vehicles,2005,
Armoured vehicles,2006,6
Armoured vehicles,2007,1
Armoured vehicles,2008,20
Armoured vehicles,2009,21
Armoured vehicles,2010,20
Armoured vehicles,2011,2
Armoured vehicles,2012,156
Armoured vehicles,2013,178
Armoured vehicles,2014,33
Artillery,1980,
Artillery,1981,
Artillery,1982,
Artillery,1983,
Artillery,1984,
Artillery,1985,
Artillery,1986,
Artillery,1987,
Artillery,1988,
Artillery,1989,
Artillery,1990,
Artillery,1991,
Artillery,1992,
Artillery,1993,2
Artillery,1994,
Artillery,1995,
Artillery,1996,
Artillery,1997,
Artillery,1998,
Artillery,1999,11
Artillery,2000,9
Artillery,2001,10
Artillery,2002,
Artillery,2003,
Artillery,2004,
Artillery,2005,
Artillery,2006,22
Artillery,2007,5
Artillery,2008,45
Artillery,2009,7
Artillery,2010,
Artillery,2011,
Artillery,2012,
Artillery,2013,
Artillery,2014,
Engines,1980,2
Engines,1981,
Engines,1982,
Engines,1983,
Engines,1984,
Engines,1985,
Engines,1986,2
Engines,1987,
Engines,1988,
Engines,1989,
Engines,1990,2
Engines,1991,2
Engines,1992,2
Engines,1993,
Engines,1994,
Engines,1995,
Engines,1996,
Engines,1997,
Engines,1998,
Engines,1999,7
Engines,2000,
Engines,2001,
Engines,2002,
Engines,2003,1
Engines,2004,
Engines,2005,
Engines,2006,
Engines,2007,
Engines,2008,
Engines,2009,
Engines,2010,
Engines,2011,12
Engines,2012,12
Engines,2013,6
Engines,2014,
Missiles,1980,
Missiles,1981,
Missiles,1982,
Missiles,1983,
Missiles,1984,
Missiles,1985,
Missiles,1986,
Missiles,1987,
Missiles,1988,
Missiles,1989,
Missiles,1990,5
Missiles,1991,5
Missiles,1992,3
Missiles,1993,1
Missiles,1994,1
Missiles,1995,16
Missiles,1996,18
Missiles,1997,16
Missiles,1998,7
Missiles,1999,12
Missiles,2000,
Missiles,2001,5
Missiles,2002,10
Missiles,2003,2
Missiles,2004,39
Missiles,2005,46
Missiles,2006,32
Missiles,2007,32
Missiles,2008,14
Missiles,2009,14
Missiles,2010,14
Missiles,2011,33
Missiles,2012,64
Missiles,2013,14
Missiles,2014,7
Naval weapons,1980,
Naval weapons,1981,
Naval weapons,1982,
Naval weapons,1983,
Naval weapons,1984,
Naval weapons,1985,
Naval weapons,1986,
Naval weapons,1987,
Naval weapons,1988,
Naval weapons,1989,
Naval weapons,1990,
Naval weapons,1991,
Naval weapons,1992,
Naval weapons,1993,
Naval weapons,1994,
Naval weapons,1995,
Naval weapons,1996,
Naval weapons,1997,
Naval weapons,1998,3
Naval weapons,1999,3
Naval weapons,2000,3
Naval weapons,2001,5
Naval weapons,2002,3
Naval weapons,2003,2
Naval weapons,2004,2
Naval weapons,2005,4
Naval weapons,2006,
Naval weapons,2007,2
Naval weapons,2008,
Naval weapons,2009,
Naval weapons,2010,
Naval weapons,2011,1
Naval weapons,2012,
Naval weapons,2013,
Naval weapons,2014,
Sensors,1980,
Sensors,1981,
Sensors,1982,
Sensors,1983,
Sensors,1984,
Sensors,1985,
Sensors,1986,
Sensors,1987,
Sensors,1988,
Sensors,1989,7
Sensors,1990,9
Sensors,1991,9
Sensors,1992,2
Sensors,1993,9
Sensors,1994,
Sensors,1995,
Sensors,1996,
Sensors,1997,
Sensors,1998,
Sensors,1999,
Sensors,2000,
Sensors,2001,
Sensors,2002,6
Sensors,2003,22
Sensors,2004,3
Sensors,2005,5
Sensors,2006,
Sensors,2007,
Sensors,2008,
Sensors,2009,
Sensors,2010,5
Sensors,2011,
Sensors,2012,
Sensors,2013,
Sensors,2014,
Ships,1980,34
Ships,1981,
Ships,1982,36
Ships,1983,
Ships,1984,
Ships,1985,
Ships,1986,
Ships,1987,
Ships,1988,
Ships,1989,
Ships,1990,17
Ships,1991,132
Ships,1992,
Ships,1993,88
Ships,1994,
Ships,1995,100
Ships,1996,100
Ships,1997,100
Ships,1998,
Ships,1999,
Ships,2000,
Ships,2001,48
Ships,2002,
Ships,2003,48
Ships,2004,
Ships,2005,
Ships,2006,
Ships,2007,
Ships,2008,
Ships,2009,
Ships,2010,
Ships,2011,234
Ships,2012,117
Ships,2013,
Ships,2014,
Total,1980,41
Total,1981,
Total,1982,39
Total,1983,
Total,1984,
