country,year,value
Aircraft,1980,917
Aircraft,1981,328
Aircraft,1982,905
Aircraft,1983,1490
Aircraft,1984,1008
Aircraft,1985,703
Aircraft,1986,4
Aircraft,1987,496
Aircraft,1988,496
Aircraft,1989,
Aircraft,1990,734
Aircraft,1991,
Aircraft,1992,
Aircraft,1993,
Aircraft,1994,1
Aircraft,1995,
Aircraft,1996,
Aircraft,1997,
Aircraft,1998,
Aircraft,1999,
Aircraft,2000,
Aircraft,2001,
Aircraft,2002,
Aircraft,2003,
Aircraft,2004,
Aircraft,2005,
Aircraft,2006,
Aircraft,2007,
Aircraft,2008,172
Aircraft,2009,
Aircraft,2010,
Aircraft,2011,1
Aircraft,2012,0
Aircraft,2013,
Aircraft,2014,
Air defence systems,1980,216
Air defence systems,1981,199
Air defence systems,1982,321
Air defence systems,1983,136
Air defence systems,1984,136
Air defence systems,1985,174
Air defence systems,1986,238
Air defence systems,1987,60
Air defence systems,1988,60
Air defence systems,1989,
Air defence systems,1990,
Air defence systems,1991,
Air defence systems,1992,
Air defence systems,1993,
Air defence systems,1994,
Air defence systems,1995,
Air defence systems,1996,
Air defence systems,1997,
Air defence systems,1998,
Air defence systems,1999,
Air defence systems,2000,
Air defence systems,2001,
Air defence systems,2002,
Air defence systems,2003,
Air defence systems,2004,
Air defence systems,2005,
Air defence systems,2006,
Air defence systems,2007,
Air defence systems,2008,33
Air defence systems,2009,33
Air defence systems,2010,83
Air defence systems,2011,203
Air defence systems,2012,302
Air defence systems,2013,302
Air defence systems,2014,
Armoured vehicles,1980,661
Armoured vehicles,1981,661
Armoured vehicles,1982,466
Armoured vehicles,1983,466
Armoured vehicles,1984,466
Armoured vehicles,1985,394
Armoured vehicles,1986,394
Armoured vehicles,1987,439
Armoured vehicles,1988,529
Armoured vehicles,1989,591
Armoured vehicles,1990,
Armoured vehicles,1991,276
Armoured vehicles,1992,198
Armoured vehicles,1993,142
Armoured vehicles,1994,
Armoured vehicles,1995,
Armoured vehicles,1996,
Armoured vehicles,1997,
Armoured vehicles,1998,
Armoured vehicles,1999,
Armoured vehicles,2000,
Armoured vehicles,2001,
Armoured vehicles,2002,
Armoured vehicles,2003,
Armoured vehicles,2004,
Armoured vehicles,2005,
Armoured vehicles,2006,
Armoured vehicles,2007,
Armoured vehicles,2008,
Armoured vehicles,2009,
Armoured vehicles,2010,
Armoured vehicles,2011,
Armoured vehicles,2012,
Armoured vehicles,2013,
Armoured vehicles,2014,
Artillery,1980,23
Artillery,1981,30
Artillery,1982,91
Artillery,1983,83
Artillery,1984,75
Artillery,1985,70
Artillery,1986,50
Artillery,1987,20
Artillery,1988,26
Artillery,1989,
Artillery,1990,
Artillery,1991,4
Artillery,1992,15
Artillery,1993,4
Artillery,1994,
Artillery,1995,
Artillery,1996,
Artillery,1997,
Artillery,1998,
Artillery,1999,
Artillery,2000,
Artillery,2001,
Artillery,2002,
Artillery,2003,
Artillery,2004,
Artillery,2005,
Artillery,2006,
Artillery,2007,
Artillery,2008,
Artillery,2009,
Artillery,2010,
Artillery,2011,
Artillery,2012,
Artillery,2013,
Artillery,2014,
Engines,1980,25
Engines,1981,4
Engines,1982,5
Engines,1983,10
Engines,1984,12
Engines,1985,4
Engines,1986,1
Engines,1987,
Engines,1988,
Engines,1989,
Engines,1990,
Engines,1991,19
Engines,1992,14
Engines,1993,10
Engines,1994,
Engines,1995,
Engines,1996,
Engines,1997,
Engines,1998,
Engines,1999,
