weapon,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aircraft,44,177,15,64,60,22,45,,,12,296,683,,275,13,10,57,,68,,74,238,198,68,,,69,,,,,,,,
Air defence systems,,,,,,54,54,,,36,54,82,,,,7,7,,,15,15,15,15,15,15,,188,175,,,,,,,
Armoured vehicles,94,106,393,261,90,,340,340,210,90,,,,332,153,189,50,113,243,243,251,186,19,3,3,3,3,3,3,3,3,3,,,
Artillery,,1,78,169,147,399,98,159,100,7,8,21,82,14,10,6,4,4,9,7,7,7,7,,,,,,,,,,,,
Engines,,4,,,31,,,,,1,2,12,,4,10,16,4,4,4,4,4,,,,,,,,,,,,,,
Missiles,,,25,15,5,72,176,250,153,32,79,203,130,134,47,53,60,56,56,40,47,55,52,55,56,49,158,147,53,53,68,61,41,13,13
Naval weapons,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,,
Sensors,,18,,,,,45,60,,,,7,,,,,,,,14,14,14,,,,,,,,,26,33,,18,
Ships,140,173,30,,145,92,45,24,15,15,15,15,220,228,220,15,433,,,,,8,139,136,42,,,,,,,,,,
Total,278,487,541,509,478,638,803,833,478,192,454,1022,432,987,452,296,615,178,381,323,418,528,435,282,121,57,423,331,62,62,103,103,47,31,13
