weapon,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aircraft,4,,3,,,,6,,,,141,79,53,132,95,47,,115,147,108,5,83,124,,,,1,,,,24,414,152,81,33
Air defence systems,,,,,,,,,,,5,5,5,5,,,,,,,,,,,95,105,105,95,,,,,30,,
Armoured vehicles,,,,,,,,,,27,89,,,88,,60,,,,,,,15,9,56,,6,1,20,21,20,2,156,178,33
Artillery,,,,,,,,,,,,,,2,,,,,,11,9,10,,,,,22,5,45,7,,,,,
Engines,2,,,,,,2,,,,2,2,2,,,,,,,7,,,,1,,,,,,,,12,12,6,
Missiles,,,,,,,,,,,5,5,3,1,1,16,18,16,7,12,,5,10,2,39,46,32,32,14,14,14,33,64,14,7
Naval weapons,,,,,,,,,,,,,,,,,,,3,3,3,5,3,2,2,4,,2,,,,1,,,
Sensors,,,,,,,,,,7,9,9,2,9,,,,,,,,,6,22,3,5,,,,,5,,,,
Ships,34,,36,,,,,,,,17,132,,88,,100,100,100,,,,48,,48,,,,,,,,234,117,,
Total,41,,39,,,,8,,,34,266,232,65,323,97,223,118,231,156,141,16,149,157,83,194,160,166,135,79,42,63,697,531,278,72
