,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aircraft,917,328,905,1490,1008,703,4,496,496,,734,,,,1,,,,,,,,,,,,,,172,,,1,0,,
Air defence systems,216,199,321,136,136,174,238,60,60,,,,,,,,,,,,,,,,,,,,33,33,83,203,302,302,
Armoured vehicles,661,661,466,466,466,394,394,439,529,591,,276,198,142,,,,,,,,,,,,,,,,,,,,,
Artillery,23,30,91,83,75,70,50,20,26,,,4,15,4,,,,,,,,,,,,,,,,,,,,,
Engines,25,4,5,10,12,4,1,,,,,19,14,10,,,,,,,,,,,,,,,,,,,,,
Missiles,115,121,163,146,108,188,190,253,145,32,,18,18,18,18,35,35,35,55,58,64,28,45,69,25,35,46,20,71,104,185,134,69,59,10
Naval weapons,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sensors,,6,7,39,33,52,45,90,,,,,,,,,,,,,,,,,,,,,,56,30,30,,,
Ships,,,34,,42,37,103,,,,,,,,,,,,,,,,,,,,54,,,,,,,,
Total,1956,1348,1992,2368,1879,1622,1023,1357,1255,623,734,316,243,173,19,35,35,35,55,58,64,28,45,69,25,35,100,20,276,193,298,368,371,361,10
