slug	url	name	pub
gaza	https://www.bloomberg.com/graphics/2024-gaza-who-will-pay-to-rebuild/?srnd=undefined	Gaza Reduced to 42 Million Tonnes of Rubble. What Will It Take to Rebuild?	Bloomberg
harvard	https://www.bloomberg.com/graphics/2024-harvard-property-tax/?srnd=undefined	Harvard’s $465 Million in Tax Benefits Draw New Scrutiny	Bloomberg
rafah	https://www.bloomberg.com/graphics/2024-map-gaza-rafah-israel-hamas-war/?srnd=undefined	A Detailed Map Shows How Airstrikes and Refugees Reshaped Rafah	Bloomberg
evcars	https://www.bloomberg.com/graphics/2023-ev-charging-map-road-trip/?srnd=undefined	America’s Loneliest Road Is Finally EV-Ready	Bloomberg
watergrab	https://www.bloomberg.com/graphics/2023-wall-street-speeds-california-groundwater-depletion	Groundwater Goldrush	Bloomberg
ford	https://www.bloomberg.com/graphics/2023-ford-f150-electric-car-rainforest-damage	Ford’s Electric Pickup Is Built From Metal That’s Damaging the Amazon	Bloomberg
3dnyc	https://www.bloomberg.com/graphics/2022-remote-work-is-killing-manhattan-commercial-real-estate-market	New York City’s Empty Offices Reveal a Global Property Dilemma	Bloomberg
lanai	https://www.bloomberg.com/graphics/2022-oracle-larry-ellison-lanai-hawaii-plans-tourism/	Larry Ellison’s Lanai Isn’t for You—or the People Who Live There	Bloomberg
hamptons	https://www.bloomberg.com/graphics/2021-hamptons-real-estate-beach-climate-proofing/	Hamptons Tries Extreme Climate-Proofing to Save Itself	Bloomberg
fixAmerica	https://www.bloomberg.com/features/2021-infrastructure-across-america/	How to Fix America	Bloomberg
biden-inauguration	https://www.bloomberg.com/graphics/2021-biden-inauguration-logistics/	What a Scaled-Down, High-Security Inauguration Looks Like	Bloomberg
latinoelex	https://www.bloomberg.com/graphics/2020-us-election-hispanic-latino-voters/	Trump's New Latino Voters Are Sending Democrats a Message	Bloomberg
elexcovid	https://www.bloomberg.com/graphics/2020-election-results-trump-vote-covid-deaths/	Covid Hotspots Stuck With Trump in Close Presidential Race	Bloomberg
nyccovid	https://www.bloomberg.com/graphics/2020-new-york-city-reopening/	New York City Reopening Splits Along Lines of Wealth and Race	Bloomberg
citycovid	https://www.bloomberg.com/graphics/2020-coronavirus-transportation-data-cities-traffic-mobility/	Pandemic Travel Patterns Hint at Our Urban Future	Bloomberg
airbnb	https://www.bloomberg.com/graphics/2020-airbnb-ipo-challenges	Airbnb to America's Big Cities: See You in Court	Bloomberg
aufire	https://www.bloomberg.com/graphics/2020-australia-fires	Australia Fire Maps: Where the Devastating Wildfires Are Burning	Bloomberg
gdpcenter	https://www.bloomberg.com/graphics/2019-county-gdp/	The Center of the U.S. Economy Is in Rural Missouri	Bloomberg
distracted	https://www.bloomberg.com/graphics/2019-distracted-drivers/	Drivers Refuse to Put Down Their Phones. People Keep Dying.	Bloomberg
landowner	https://www.bloomberg.com/graphics/2019-largest-landowners-in-us/	Here’s who owns the most land in America	Bloomberg
silicon-valley	https://www.bloomberg.com/graphics/2019-silicon-valley-real-estate-boom/?srnd=wealth	Getting fabulously wealthy in Silicon Valley: No coding required	bloomberg
nuclear	https://www.bloomberg.com/graphics/2019-nuclear-power-plants-climate-change/	U.S. nuclear power plants weren’t built for climate change	bloomberg
venezuela	https://www.bloomberg.com/graphics/2019-venezuela-key-events/	The rise and fall of Chavismo in Venezuela	bloomberg
trumpwall	https://www.bloomberg.com/graphics/trump-mexico-wall/	Here’s what we know about Trump’s Mexico wall	bloomberg
midtern-turnout	https://www.bloomberg.com/graphics/2018-midterm-election-turnout-shifts/	Americans actually voted in the 2018 midterms	Bloomberg
amtrak	https://www.bloomberg.com/graphics/2018-amtrak-sea-level/	Rising waters are drowning Amtrak's Northeast Corridor	Bloomberg
hellNo	https://www.politico.com/interactives/2018/how-five-2020-contenders-voted-on-trumps-nominees/	The hell-no caucus: how five 2020 contenders voted on Trump's nominees	POLITICO
russiaProbes	https://www.politico.com/interactives/2018/trump-russia-investigation-ties/	The 270 people connected to the Russia probes	POLITICO
hezbollah	https://www.POLITICO.com/interactives/2017/obama-hezbollah-drug-trafficking-investigation/	The secret backstory of how Obama let Hezbollah off the hook	POLITICO
alElection	https://www.POLITICO.com/interactives/elections/2017/alabama/special-election/dec-12/	Alabama Senate 2017 special election: Moore vs. Jones	POLITICO
poll	https://www.politico.com/interactives/2017/politico-morning-consult-poll/	How America feels about Trump	POLITICO
confederatePopulation	http://www.POLITICO.com/interactives/2017/confederate-monuments-statues-and-symbols-in-the-south/	1,503 Confederate symbols are on display across America. Most are in the South. 179 are in majority black counties.	POLITICO
mapGuide	http://jeremycflin.github.io/maps.html	Bloomberg style guide example maps	Bloomberg
borderWallNew	https://www.bloomberg.com/graphics/2017-mexico-trump-first-line-of-defense-on-immigration/	Why Mexico is Trump’s first line of defense on immigration	Bloomberg
trumpRevealed	https://www.washingtonpost.com/graphics/politics/trump-revealed-book-reporting-archive/	‘Trump Revealed’: The reporting archive	Washington Post
maternityLeave	https://www.washingtonpost.com/news/worldviews/wp/2016/08/13/the-world-is-getting-better-at-paid-maternity-leave-the-u-s-is-not/?utm_term=.ee9205f42915	The world is getting better at paid maternity leave. The U.S. is not.	Washington Post
brexit	https://www.washingtonpost.com/news/worldviews/wp/2016/06/29/what-a-real-brexit-britain-would-look-like/?postshare=731467212368077&tid=ss_tw&utm_term=.9dc707a7a926	What a real ‘Brexit Britain’ would look like	Washington Post
fantasyFootball	https://www.washingtonpost.com/graphics/sports/fantasy-football/	The conjoined triangles of Fantasy Football success	Washington Post
