first_column,2001,2001,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
California Generation plus Net Imports ,267399,274444,280026,290211,289177,298454,304823,307448,299101,291310,293875,302113,296569
Total Hydroelectric,24988,31359,36341,34490,40263,48559,27105,24460,29220,34327,42731,27459,24098
Nuclear,33294,34353,35594,30241,36155,32036,35698,32482,31509,32214,36666,18491,17860
In-State Coal,4041,4275,4269,4086,4283,4190,4217,3977,3735,3406,3120,1580,1018
Oil,379,87,103,127,148,134,103,92,67,52,36,90,38
Natural Gas ,116369,92752,94715,105358,97110,109316,120459,123036,117277,109916,91276,121761,120896
Geothermal,13525,13396,13329,13494,13292,13093,13029,12907,12907,12740,12685,12733,12485
Biomass,5761,6196,6092,6080,6076,5861,5743,5927,6096,5960,5986,6121,6466
Wind,3242,3546,3316,4258,4084,4902,5570,5724,6249,6172,7598,9242,12694
Solar,836,851,759,741,660,616,668,733,851,912,1097,1834,4154
Other,38,35,108,48,24,34,15,39,20,12,13,14,14
Direct Coal Imports,23699,23653,23148,24504,24114,14452,14417,14463,13556,13119,13032,9716,11824
Other Imports,41227,63941,62253,66785,62967,65263,77799,83608,77615,72481,79633,93071,85022
