group,date,value
On campus forcible,2001,71
On campus forcible,2002,83
On campus forcible,2003,77
On campus forcible,2004,112
On campus forcible,2005,98
On campus forcible,2006,119
On campus forcible,2007,105
On campus forcible,2008,89
On campus forcible,2009,90
On campus forcible,2010,87
On campus forcible,2011,100
On campus forcible,2012,155
On campus forcible,2013,198
On campus non-forcible,2001,19
On campus non-forcible,2002,14
On campus non-forcible,2003,7
On campus non-forcible,2004,2
On campus non-forcible,2005,2
On campus non-forcible,2006,6
On campus non-forcible,2007,1
On campus non-forcible,2008,5
On campus non-forcible,2009,4
On campus non-forcible,2010,1
On campus non-forcible,2011,4
On campus non-forcible,2012,5
On campus non-forcible,2013,4
Student housing forcible,2001,53
Student housing forcible,2002,53
Student housing forcible,2003,53
Student housing forcible,2004,62
Student housing forcible,2005,61
Student housing forcible,2006,84
Student housing forcible,2007,64
Student housing forcible,2008,62
Student housing forcible,2009,68
Student housing forcible,2010,69
Student housing forcible,2011,68
Student housing forcible,2012,99
Student housing forcible,2013,136
Student housing non-forcible,2001,13
Student housing non-forcible,2002,5
Student housing non-forcible,2003,5
Student housing non-forcible,2004,0
Student housing non-forcible,2005,0
Student housing non-forcible,2006,4
Student housing non-forcible,2007,1
Student housing non-forcible,2008,3
Student housing non-forcible,2009,2
Student housing non-forcible,2010,0
Student housing non-forcible,2011,3
Student housing non-forcible,2012,3
Student housing non-forcible,2013,2
