end_lat,end_long,start_lat,start_long,end_country,start_country,count,year
35.8592948,104.1361117,23.5,121,大陸地區,台灣,187,101
34.7857324,134.3756902,23.5,121,日本,台灣,97,101
37.6,-95.665,23.5,121,美國,台灣,164,101
35.8615124,127.096405,23.5,121,大韓民國(南韓),台灣,71,101
51.1719674,10.4541194,23.5,121,德意志聯邦共和國,台灣,99,101
46.2157467,2.2088258,23.5,121,法國,台灣,68,101
55.3632592,-3.4433238,23.5,121,英國,台灣,62,101
52.2129919,5.2793703,23.5,121,荷蘭王國,台灣,54,101
49.8037633,15.4749126,23.5,121,捷克共和國,台灣,37,101
56,-96,23.5,121,加拿大,台灣,36,101
62.1983366,17.5652566,23.5,121,瑞典王國,台灣,42,101
-27.9210555,133.247866,23.5,121,澳大利亞,台灣,33,101
22.3576782,114.1210181,23.5,121,香港,台灣,53,101
40.2085,-3.713,23.5,121,西班牙王國,台灣,24,101
47.696472,13.3457348,23.5,121,奧地利共和國,台灣,43,101
13.03887,101.490104,23.5,121,泰王國(泰國),台灣,19,101
1.3147308,103.8470128,23.5,121,新加坡共和國,台灣,44,101
4.140634,109.6181485,23.5,121,馬來西亞,台灣,22,101
64.9146659,26.0672553,23.5,121,芬蘭共和國,台灣,20,101
11.6978351,122.6217542,23.5,121,菲律賓共和國,台灣,34,101
35.8592948,104.1361117,23.5,121,大陸地區,台灣,276,102
34.7857324,134.3756902,23.5,121,日本,台灣,81,102
37.6,-95.665,23.5,121,美國,台灣,80,102
35.8615124,127.096405,23.5,121,大韓民國(南韓),台灣,68,102
51.1719674,10.4541194,23.5,121,德意志聯邦共和國,台灣,48,102
46.2157467,2.2088258,23.5,121,法國,台灣,49,102
55.3632592,-3.4433238,23.5,121,英國,台灣,45,102
52.2129919,5.2793703,23.5,121,荷蘭王國,台灣,46,102
13.03887,101.490104,23.5,121,泰國,台灣,13,102
40.2085,-3.713,23.5,121,西班牙,台灣,20,102
64.9146659,26.0672553,23.5,121,芬蘭,台灣,28,102
22.3576782,114.1210181,23.5,121,香港,台灣,56,102
49.8037633,15.4749126,23.5,121,捷克共和國,台灣,39,102
50.5010789,4.4764594,23.5,121,比利時,台灣,25,102
56,-96,23.5,121,加拿大,台灣,40,102
4.140634,109.6181485,23.5,121,馬來西亞,台灣,45,102
47.696472,13.3457348,23.5,121,奧地利,台灣,42,102
1.3147308,103.8470128,23.5,121,新加坡共和國,台灣,50,102
62.1983366,17.5652566,23.5,121,瑞典,台灣,47,102
-27.9210555,133.247866,23.5,121,澳大利亞,台灣,36,102
35.8592948,104.1361117,23.5,121,大陸,台灣,170,103
34.7857324,134.3756902,23.5,121,日本,台灣,60,103
37.6,-95.665,23.5,121,美國,台灣,45,103
35.8615124,127.096405,23.5,121,南韓,台灣,44,103
51.1719674,10.4541194,23.5,121,德國,台灣,35,103
46.2157467,2.2088258,23.5,121,法國,台灣,36,103
56,-96,23.5,121,加拿大,台灣,31,103
52.2682651,5.5201215,23.5,121,荷蘭,台灣,24,103
55.3632592,-3.4433238,23.5,121,英國,台灣,13,103
40.2085,-3.713,23.5,121,西班牙,台灣,17,103
22.3576782,114.1210181,23.5,121,香港,台灣,35,103
47.696472,13.3457348,23.5,121,奧地利共和國,台灣,24,103
62.1983366,17.5652566,23.5,121,瑞典,台灣,24,103
-27.9210555,133.247866,23.5,121,澳大利亞,台灣,17,103
1.3147308,103.8470128,23.5,121,新加坡共和國,台灣,27,103
51.9189046,19.1343786,23.5,121,波蘭,台灣,13,103
64.9146659,26.0672553,23.5,121,芬蘭,台灣,12,103
46.8131873,8.2242101,23.5,121,瑞士,台灣,15,103
4.140634,109.6181485,23.5,121,馬來西亞,台灣,22,103
