type,industry,employment,annual_mean_wage,hourly_mean_wage
Reporter,Newspaper Periodical Book and Directory Publishers,27420,40240,19.35
Reporter,Radio and Television Broadcasting,10370,48110,23.13
Reporter,Other Information Services,3910,57830,27.80
Reporter,Cable and Other Subscription Programming,670,53300,25.62
Reporter,Management of Companies and Enterprises,270,48060,23.11
Editor,Newspaper Periodical Book and Directory Publishers,54610,62800,30.19
Editor,Radio and Television Broadcasting,6490,66710,32.07
Editor,Other Information Services,3940,64740,31.12
Editor,Cable and Other Subscription Programming,3410,56900,27.36
Editor,Management of Companies and Enterprises,3320,55980,26.91
All Occupations,null, 132588810, 46440, 22.33
