U.S. Custom Ports,Coast,Year,Value
"Aberdeen, WA",P,1997,0
"Aberdeen, WA",P,1998,24
"Aberdeen, WA",P,1999,3284.95
"Aberdeen, WA",P,2000,0
"Aberdeen, WA",P,2001,78.83
"Aberdeen, WA",P,2002,75.16
"Aberdeen, WA",P,2003,0
"Aberdeen, WA",P,2004,0
"Aberdeen, WA",P,2005,194.35
"Aberdeen, WA",P,2006,0
"Aberdeen, WA",P,2007,0
"Aberdeen, WA",P,2008,0
"Aberdeen, WA",P,2009,45.14
"Aberdeen, WA",P,2010,303
"Aberdeen, WA",P,2011,680.42
"Aberdeen, WA",P,2012,437.43
"Aberdeen, WA",P,2013,2436.97
"Aberdeen, WA",P,2014,894.86
"Anacortes, WA",P,1997,0
"Anacortes, WA",P,1998,0
"Anacortes, WA",P,1999,0
"Anacortes, WA",P,2000,0
"Anacortes, WA",P,2001,0
"Anacortes, WA",P,2002,0
"Anacortes, WA",P,2003,0
"Anacortes, WA",P,2004,0
"Anacortes, WA",P,2005,0
"Anacortes, WA",P,2006,270.28
"Anacortes, WA",P,2007,0
"Anacortes, WA",P,2008,0
"Anacortes, WA",P,2009,0
"Anacortes, WA",P,2010,0
"Anacortes, WA",P,2011,275.46
"Anacortes, WA",P,2012,0
"Anacortes, WA",P,2013,11.19
"Anacortes, WA",P,2014,1228.84
"Anchorage, AK",AK,1997,140261.33
"Anchorage, AK",AK,1998,126458.34
"Anchorage, AK",AK,1999,145800.97
"Anchorage, AK",AK,2000,115062.95
"Anchorage, AK",AK,2001,118184.28
"Anchorage, AK",AK,2002,184764.46
"Anchorage, AK",AK,2003,238433.82
"Anchorage, AK",AK,2004,331971.3
"Anchorage, AK",AK,2005,368794.83
"Anchorage, AK",AK,2006,318754.42
"Anchorage, AK",AK,2007,319609.06
"Anchorage, AK",AK,2008,285283.76
"Anchorage, AK",AK,2009,279043
"Anchorage, AK",AK,2010,306255.63
"Anchorage, AK",AK,2011,430568.53
"Anchorage, AK",AK,2012,402275.41
"Anchorage, AK",AK,2013,121186.01
"Anchorage, AK",AK,2014,11426.32
"Baltimore, MD",A,1997,2528658.37
"Baltimore, MD",A,1998,2499393.67
"Baltimore, MD",A,1999,2557583.26
"Baltimore, MD",A,2000,2785021.17
"Baltimore, MD",A,2001,2739425.89
"Baltimore, MD",A,2002,3063987.18
"Baltimore, MD",A,2003,3130884.15
"Baltimore, MD",A,2004,3768489.81
"Baltimore, MD",A,2005,3925987.65
"Baltimore, MD",A,2006,4185218.18
"Baltimore, MD",A,2007,4383405.55
"Baltimore, MD",A,2008,4474852.06
"Baltimore, MD",A,2009,4240713.47
"Baltimore, MD",A,2010,4644224.11
