end_lat,end_long,start_lat,start_long,end_country,start_country
35.8592948,104.1361117,23.5,121,____,__
34.7857324,134.3756902,23.5,121,__,__
37.6,-95.665,23.5,121,__,__
35.8615124,127.096405,23.5,121,____(__),__
51.1719674,10.4541194,23.5,121,________,__
46.2157467,2.2088258,23.5,121,__,__
55.3632592,-3.4433238,23.5,121,__,__
52.2129919,5.2793703,23.5,121,____,__
49.8037633,15.4749126,23.5,121,_____,__
56,-96,23.5,121,___,__
62.1983366,17.5652566,23.5,121,____,__
-27.9210555,133.247866,23.5,121,____,__
22.3576782,114.1210181,23.5,121,__,__
40.2085,-3.713,23.5,121,_____,__
47.696472,13.3457348,23.5,121,______,__
13.03887,101.490104,23.5,121,___(__),__
1.3147308,103.8470128,23.5,121,______,__
4.140634,109.6181485,23.5,121,____,__
64.9146659,26.0672553,23.5,121,_____,__
11.6978351,122.6217542,23.5,121,______,__
