end_country,top_three,count,url,year
大陸地區,上海交通大學,65,http://www.sjtu.edu.cn/,101
大陸地區,北京大學,82,http://www.pku.edu.cn/,101
大陸地區,廈門大學,40,http://www.xmu.edu.cn/,101
日本,大阪大學,35,http://www.osaka-u.ac.jp/,101
日本,立命館大學,32,http://www.ritsumei.jp/index_j.html,101
日本,東北大學,30,http://www.tohoku.ac.jp/en/,101
美國,加州大學柏克萊分校,63,http://www.berkeley.edu/,101
美國,史丹福大學,56,http://www.stanford.edu/,101
美國,西來大學,45,http://www.uwest.edu/site/,101
大韓民國(南韓),東亞大學,25,http://www.donga.ac.kr/,101
大韓民國(南韓),成均館大學,24,http://www.skku.edu/index_pc.jsp,101
大韓民國(南韓),又松大學,22,http://www.wsu.ac.kr/site/main/intro/intro.html,101
德意志聯邦共和國,海德堡大學,51,http://www.uni-heidelberg.de/,101
德意志聯邦共和國,漢堡大學,29,http://www.uni-hamburg.de/,101
德意志聯邦共和國,柏林自由大學,19,http://www.fu-berlin.de/,101
法國,里爾天主教大學,34,http://www.univ-catholille.fr/,101
法國,里昂大三大學,23,http://www.univ-lyon3.fr/,101
法國,特魯瓦高等商學院,11,http://www.educations.com/study-abroad/groupe-esc-troyes-school-of-management/,101
英國,牛津大學哈福特學院,39,http://www.ox.ac.uk/,101
英國,北安普頓大學,13,http://www.northampton.ac.uk/,101
英國,愛丁堡大學,10,http://www.ed.ac.uk/home,101
荷蘭王國,烏特列茲大學,25,http://www.uu.nl/,101
荷蘭王國,葛洛寧恩大學,21,http://www.rug.nl/,101
荷蘭王國,萊登大學,8,http://www.leidenuniv.nl/,101
捷克共和國,布爾諾科技大學,18,https://www.vutbr.cz/en/,101
捷克共和國,捷克科技大學,11,http://www.cvut.cz/,101
捷克共和國,哈德克.卡爾威大學,8,https://www.uhk.cz/en-GB/UHK,101
加拿大,漢堡學院,15,http://www.humber.ca/,101
加拿大,布洛克大學,11,http://www.brocku.ca/,101
加拿大,維多利亞大學,10,http://www.uvic.ca/,101
瑞典王國,林雪平大學,20,http://www.liu.se/?l=en,101
瑞典王國,皇家理工學院,12,http://www.kth.se/,101
瑞典王國,查爾默大學,10,http://www.chalmers.se/en/Pages/default.aspx,101
澳大利亞,迪肯大學,15,http://www.deakin.edu.au/,101
澳大利亞,昆士蘭大學,10,http://www.uq.edu.au/,101
澳大利亞,昆士蘭科技大學,8,https://www.qut.edu.au/,101
香港,香港中文大學,26,http://www.cuhk.edu.hk/chinese/,101
香港,香港城市大學,15,http://www.cityu.edu.hk/cityu/index-tc.htm,101
香港,樹仁大學,12,http://www.hksyu.edu/,101
西班牙王國,馬德里自治大學,9,http://www.uam.es/ss/Satellite/es/home/,101
西班牙王國,納瓦拉大學,8,http://www.unav.edu/web/biblioteca,101
西班牙王國,卡斯提亞拉曼查大學,7,https://www.uclm.es/english/,101
