date,value
Mar 2015,30.95759
Feb 2015,23.85251
Jan 2015,20.28074
Dec 2014,14.69525
Nov 2014,22.64163
Oct 2014,32.07428
Sep 2014,27.26618
Aug 2014,38.93628
Jul 2014,29.77335
Jun 2014,29.36615
May 2014,28.46721
Apr 2014,27.60968
Mar 2014,24.42573
Feb 2014,13.9795
Jan 2014,14.81919
Dec 2013,13.83265
Nov 2013,9.05797
Oct 2013,13.73226
Sep 2013,14.88295
Aug 2013,17.70666
Jul 2013,17.16244
Jun 2013,16.40791
May 2013,14.85825
Apr 2013,12.27838
Mar 2013,15.07471
Feb 2013,10.12686
Jan 2013,7.89189
Dec 2012,14.88614
Nov 2012,8.55649
Oct 2012,9.51389
Sep 2012,10.96598
Aug 2012,12.81955
Jul 2012,12.41762
Jun 2012,13.6851
May 2012,12.64119
Apr 2012,8.7192
Mar 2012,5.77977
Feb 2012,4.0565
Jan 2012,4.22356
Dec 2011,1.03509
Nov 2011,1.21588
Oct 2011,2.18251
Sep 2011,2.64381
Aug 2011,3.55402
Jul 2011,3.3935
Jun 2011,3.98823
May 2011,3.42297
Apr 2011,2.91971
Mar 2011,2.14825
Feb 2011,1.52097
Jan 2011,0.61408
Dec 2010,2.84908
Nov 2010,5.35892
Oct 2010,0
Sep 2010,0
Aug 2010,0
Jul 2010,0
Jun 2010,0
May 2010,0
Apr 2010,0
Mar 2010,0
Feb 2010,0
Jan 2010,0
