name,Total
New York Times,18
CNN,7
Slate,7
CBC News,6
NPR,6
Washington Post,6
BBC News,5
Las Vegas Sun,5
Los Angeles Times,5
MSNBC,5
ProPublica,5
Salon,5
CNET,4
ESPN,4
University of North Carolina,4
WNYC,4
Associated Press,3
Center for Public Integrity,3
Gotham Gazette,3
National Film Board of Canada,3
New West,3
WebMD,3
ABC News,2
Army Times Publishing Company,2
BeliefNet,2
Boston University News Service,2
Boston.com,2
California Watch,2
Center for Investigative Reporting,3
Chauncey Bailey Project,2
Chicago Tribune,2
Chronicle of Higher Education,2
Council on Foreign Relations,2
Dallas Morning News,2
DigitalJournalist.org,2
Earthfix,2
Frontline,2
Guardian,2
Herald Sun,2
Honolulu Civil Beat,2
Lanacion.com,2
Mother Jones,2
NOLA.com,2
Oakland Tribune,2
OWNI,2
Roanoke Times,2
soitu.es,2
St. Louis Post-Dispatch,2
Tampa Bay Times,2
Texas Tribune,2
TimesUnion.com,2
Toronto Star,2
UC Berkeley Graduate School of Journalism,2
University of Miami School of Communication,2
USA TODAY,2
Ventura County Star,2
voiceofsandiego.org,2
Yale Environment 360,2
