name,Total_second
Grand Total,300
(blank),290
MediaStorm,2
Borders,1
Center for Investigative Reporting,1
Matt Schofield,1
New Orleans Times,1
Radio Liberty,1
The Press,1
Universidad de Los Andes,1
University of the Andes,1
12 News,
Calgary Herald,
Center for Public Integrity‰Û_ÌãÌ«s International Consortium of Investigative Journalists,
Chicago Public Media,
City University of New York,
CU-CitizenAccess.org,
CUNY Graduate School of Journalism,
Democrat,
Frontline,
Gannett,
Gannett Digital,
Guardian,
Inland Valley Daily Bulletin,
Investigative Reporting Workshop and Reveal Project Teams,
Kiln,
KPCC.org,
Le Monde and 64 Media Partners,
"Mozilla OpenNews, La Nacion",
New York Times,
NPR,
Paperny Films,
ParentCenter.com,
ProPublica,
Public Media Stations in Eight States,
Reveal Radio,
Susie Cagle,
The Center for Public Integrity,
The Huffington Post,
The Lens,
Universidad Pontifica de Argentina,
University of Miami,
