U.S. Custom Ports,Address,bing_type,bing_confidence,bing_latitude,bing_longitude,Coast,Year,Value
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,1997,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,1998,24.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,1999,3284.95
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2000,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2001,78.83
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2002,75.16
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2003,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2004,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2005,194.35
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2006,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2007,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2008,0.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2009,45.14
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2010,303.0
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2011,680.4200000000001
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2012,437.42999999999995
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2013,2436.97
"Aberdeen, WA","111 S Wooding St, Aberdeen, WA",Address,High,46.96755990386009,-123.84589366614819,P,2014,894.86
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,1997,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,1998,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,1999,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2000,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2001,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2002,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2003,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2004,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2005,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2006,270.28
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2007,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2008,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2009,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2010,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2011,275.46000000000004
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2012,0.0
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2013,11.19
"Anacortes, WA","100 Commercial Ave, Anacortes, WA",Address,High,48.520965576171875,-122.61308288574219,P,2014,1228.84
"Anchorage, AK","2000 Anchorage Port Road, Anchorage, AK",Address,High,61.23751200735569,-149.88818049430847,AK,1997,140261.33
"Anchorage, AK","2000 Anchorage Port Road, Anchorage, AK",Address,High,61.23751200735569,-149.88818049430847,AK,1998,126458.34
